Country,Science,Maths,Reading,Total,Rank
"China (Beijing, Shanghai, Jiangsu, Zhejiang)",590,591,555,1736,1.0
Singapore,551,569,549,1669,2.0
Macao,544,558,525,1627,3.0
Estonia,530,523,523,1576,5.0
Japan,529,527,504,1560,6.0
Finland,522,507,520,1549,10.0
South Korea,519,526,514,1559,7.0
Canada,518,512,520,1550,8.0
"Hong Kong, China",517,551,524,1592,4.0
Taiwan,516,531,503,1550,8.0
Poland,511,516,512,1539,11.0
New Zealand,508,494,506,1508,15.0
Slovenia,507,509,495,1511,13.0
United Kingdom,505,502,504,1511,13.0
Australia,503,491,503,1497,21.0
Germany,503,500,498,1501,19.0
Netherlands,503,519,485,1507,16.0
United States,502,478,505,1485,25.0
Belgium,499,508,493,1500,20.0
Sweden,499,502,506,1507,16.0
Czechia,497,499,490,1486,24.0
Ireland,496,500,518,1514,12.0
 Switzerland,495,515,484,1494,22.0
Denmark,493,509,501,1503,18.0
France,493,495,493,1481,26.0
Portugal,492,492,492,1476,27.0
Austria,490,499,484,1473,28.0
Norway,490,501,499,1490,23.0
Latvia,487,496,479,1462,29.0
Lithuania,482,481,476,1439,32.0
Hungary,481,481,476,1438,33.0
Russia,478,488,479,1445,30.0
Luxembourg,477,483,470,1430,35.0
Iceland,475,495,474,1444,31.0
Croatia,472,464,479,1415,37.0
Belarus,471,472,474,1417,36.0
Ukraine,469,453,466,1388,40.0
Italy,468,487,476,1431,34.0
Turkey,468,454,466,1388,40.0
Slovakia,464,486,458,1408,38.0
Israel,462,463,470,1395,39.0
Malta,457,472,448,1377,42.0
Greece,452,451,457,1360,43.0
Chile,444,417,452,1313,46.0
Serbia,440,448,439,1327,44.0
Cyprus,439,451,424,1314,45.0
Malaysia,438,440,415,1293,48.0
United Arab Emirates,434,435,432,1301,47.0
Brunei,431,430,408,1269,53.0
Jordan,429,400,419,1248,56.0
Moldova,428,421,424,1273,51.0
Romania,426,430,428,1284,49.0
Thailand,426,419,393,1238,60.0
Uruguay,426,418,427,1271,52.0
Bulgaria,424,436,420,1280,50.0
Mexico,419,409,420,1248,56.0
Qatar,419,414,407,1240,59.0
Albania,417,437,405,1259,55.0
Costa Rica,416,402,426,1244,58.0
Montenegro,415,430,421,1266,54.0
Colombia,413,391,412,1216,61.0
North Macedonia,413,394,393,1200,67.0
Argentina,404,379,402,1185,68.0
Brazil,404,384,413,1201,66.0
Peru,404,400,401,1205,65.0
Azerbaijan,398,420,389,1207,62.0
Bosnia and Herzegovina,398,406,403,1207,62.0
Kazakhstan,397,423,387,1207,62.0
Indonesia,396,379,371,1146,71.0
Saudi Arabia,386,373,399,1158,70.0
Lebanon,384,393,353,1130,72.0
Georgia,383,398,380,1161,69.0
Morocco,377,368,359,1104,73.0
Kosovo,365,366,353,1084,75.0
Panama,365,353,377,1095,74.0
Philippines,357,353,340,1050,76.0
Dominican Republic,336,325,342,1003,77.0
